Shelf ID,Item ID,Name,Origin,Location,Weight (g),Price,NSX,HSD,Marketing strategy,Discount ,Rate
0,0,Bánh Oreo,Vietnam,Cao,120,"17,500",14/11/2023,17/10/2024,FALSE,10,4
0,1,Bánh Chocopie,Vietnam,Cao,396,"48,000",07/10/2023,16/09/2024,FALSE,0,3
0,2,Kẹo cao su Cool Air Fresh,Vietnam,Trung bình,40,"40,000",02/06/2024,02/06/2026,FALSE,0,3
0,3,Bánh mì chà bông Kinh Đô,Vietnam,Trung bình,80,"13,400",02/05/2024,02/05/2026,FALSE,0,3
0,4,Bánh trứng Custard,ThÃ¡i Lan,Trung bình,46,"17,000",30/10/2023,16/04/2024,TRUE,10,4
0,5,Hạt hướng dương Chacheer,Vietnam,Trung bình,130,"25,000",05/08/2024,24/11/2024,FALSE,5,3
0,6,Bim bim Oishi,Vietnam,Trung bình,70,"12,000",25/06/2024,08/05/2025,FALSE,5,5
0,7,Snack khoai tây Lays,Vietnam,Trung bình,90,"22,000",13/04/2024,25/09/2024,FALSE,10,3
0,8,Bánh gạo Richi,Vietnam,Cao,168,"39,000",03/10/2023,11/01/2024,FALSE,0,4
0,9,Socola trứng Kinder,Ã,Thấp,20,"28,500",01/11/2023,30/11/2024,FALSE,10,4
0,10,Kẹo dẻo Alphelibe,Vietnam,Thấp,73.5,"15,300",22/08/2023,22/08/2024,FALSE,15,3
0,11,Thạch rau câu Đức Hạnh,Vietnam,Thấp,320,"30,500",31/12/2023,30/09/2024,FALSE,0,4
0,12,Kẹo Haribo marshmallows,Vietnam,Thấp,70,"28,500",30/10/2023,06/07/2024,FALSE,0,3
1,0,Dầu gội XMen,Vietnam,Thấp,180,"70,000",04/08/2024,10/09/2024,FALSE,5,5
1,1,Dầu gội Romano,Vietnam,Thấp,380,"122,000",05/12/2023,25/03/2024,FALSE,25,4
1,2,Dầu gội Dove,Vietnam,Thấp,621,"166,000",23/02/2024,09/05/2024,TRUE,10,3
1,3,Dầu gội Sunsilk,Vietnam,Thấp,631,"145,000",14/09/2023,28/03/2024,FALSE,10,4
1,4,Sữa rửa mặt Oxy,Vietnam,Trung bình,100,"138,000",14/12/2023,26/10/2024,FALSE,10,4
1,5,Sữa rửa mặt Hada Labo,Vietnam,Trung bình,80,"83,000",14/04/2024,13/12/2024,FALSE,0,4
1,6,Sữa rửa mặt Simple,Vietnam,Trung bình,150,"132,000",11/08/2023,27/01/2024,FALSE,0,5
1,7,Dao cạo râu Gillette,Thailand,Thấp,,"40,000",19/01/2024,03/06/2024,FALSE,0,4
1,8,Tăm bông ngoáy tai Famapro,Vietnam,Thấp,,"17,000",25/08/2023,23/03/2024,FALSE,11,4
1,9,Bàn chải Colgate,Vietnam,Thấp,,"79,500",16/07/2024,23/03/2024,FALSE,5,5
1,10,Khăn tắm Shine,Vietnam,Trung bình,,"115,000",11/07/2024,11/01/2025,TRUE,20,5
1,11,Khăn mặt Shine,Vietnam,Trung bình,,"23,000",25/09/2023,20/02/2024,TRUE,20,5
1,12,Bông tẩy trang Kokimi,Vietnam,Thấp,,"54,000",11/03/2024,25/11/2024,FALSE,0,4
1,13,Tã dán Merries size NB 76 miếng (dưới 5kg),Nháº­t Báº£n,Cao,,"385,000",11/07/2024,16/03/2025,FALSE,0,3
